TA1AAM ✅ (Alfa, Alfa, Mike) 🟢 🟢 ⚫️
TA1FNS ✅ (Foxtrot, November, Sierra)
TA1FNT ✅ (Foxtrot, November, Tango)
TA1FNU ✅ (Foxtrot, November, Uniform)
TA1FNV ✅ (Foxtrot, November, Victor)
TA1FNW ✅ (Foxtrot, November, Whiskey)
TA1FNX ✅ (Foxtrot, November, X-ray)
TA1FNY ✅ (Foxtrot, November, Yankee)
TA1FNZ ✅ (Foxtrot, November, Zulu)
TA1FOB ✅ (Foxtrot, Oscar, Bravo)
TA1FOC ✅ (Foxtrot, Oscar, Charlie)
TA1FOD ✅ (Foxtrot, Oscar, Delta)
TA1FOE ✅ (Foxtrot, Oscar, Echo)
TA1FOF ✅ (Foxtrot, Oscar, Foxtrot) 🟢 ⚫️ 🟢
TA1FOG ✅ (Foxtrot, Oscar, Golf)
TA1FOH ✅ (Foxtrot, Oscar, Hotel)
TA1FOI ✅ (Foxtrot, Oscar, India)
TA1FOJ ✅ (Foxtrot, Oscar, Juliett)
TA1FOK ✅ (Foxtrot, Oscar, Kilo)
TA1FOL ✅ (Foxtrot, Oscar, Lima)
TA1FOM ✅ (Foxtrot, Oscar, Mike)
TA1FON ✅ (Foxtrot, Oscar, November)
TA1FOO ✅ (Foxtrot, Oscar, Oscar) ⚫️ 🟢 🟢
TA1FOP ✅ (Foxtrot, Oscar, Papa)
TA1FOQ ✅ (Foxtrot, Oscar, Quebec)
TA1FOR ✅ (Foxtrot, Oscar, Romeo)
TA1FOS ✅ (Foxtrot, Oscar, Sierra)
TA1FOT ✅ (Foxtrot, Oscar, Tango)
TA1FOU ✅ (Foxtrot, Oscar, Uniform)
TA1FOV ✅ (Foxtrot, Oscar, Victor)
TA1FOW ✅ (Foxtrot, Oscar, Whiskey)
TA1FOY ✅ (Foxtrot, Oscar, Yankee)
TA1FOZ ✅ (Foxtrot, Oscar, Zulu)
TA1FPA ✅ (Foxtrot, Papa, Alfa)
TA1FPB ✅ (Foxtrot, Papa, Bravo)
TA1FPC ✅ (Foxtrot, Papa, Charlie)
TA1FPD ✅ (Foxtrot, Papa, Delta)
TA1FPE ✅ (Foxtrot, Papa, Echo)
TA1FPF ✅ (Foxtrot, Papa, Foxtrot) 🟢 ⚫️ 🟢
TA1FPG ✅ (Foxtrot, Papa, Golf)
TA1FPH ✅ (Foxtrot, Papa, Hotel)
TA1FPI ✅ (Foxtrot, Papa, India)
TA1FPJ ✅ (Foxtrot, Papa, Juliett)
TA1FPK ✅ (Foxtrot, Papa, Kilo)
TA1FPL ✅ (Foxtrot, Papa, Lima)
TA1FPM ✅ (Foxtrot, Papa, Mike)
TA1FPN ✅ (Foxtrot, Papa, November)
TA1FPO ✅ (Foxtrot, Papa, Oscar)
TA1FPP ✅ (Foxtrot, Papa, Papa) ⚫️ 🟢 🟢
TA1FPQ ✅ (Foxtrot, Papa, Quebec)
TA1FPR ✅ (Foxtrot, Papa, Romeo)
TA1FPS ✅ (Foxtrot, Papa, Sierra)
TA1FPT ✅ (Foxtrot, Papa, Tango)
TA1FPU ✅ (Foxtrot, Papa, Uniform)
TA1FPV ✅ (Foxtrot, Papa, Victor)
TA1FPW ✅ (Foxtrot, Papa, Whiskey)
TA1FPX ✅ (Foxtrot, Papa, X-ray)
TA1FPY ✅ (Foxtrot, Papa, Yankee)
TA1FPZ ✅ (Foxtrot, Papa, Zulu)
TA1FQA ✅ (Foxtrot, Quebec, Alfa)
TA1FQB ✅ (Foxtrot, Quebec, Bravo)
TA1FQC ✅ (Foxtrot, Quebec, Charlie)
TA1FQD ✅ (Foxtrot, Quebec, Delta)
TA1FQE ✅ (Foxtrot, Quebec, Echo)
TA1FQF ✅ (Foxtrot, Quebec, Foxtrot) 🟢 ⚫️ 🟢
TA1FQG ✅ (Foxtrot, Quebec, Golf)
TA1FQH ✅ (Foxtrot, Quebec, Hotel)
TA1FQI ✅ (Foxtrot, Quebec, India)
TA1FQJ ✅ (Foxtrot, Quebec, Juliett)
TA1FQK ✅ (Foxtrot, Quebec, Kilo)
TA1FQL ✅ (Foxtrot, Quebec, Lima)
TA1FQM ✅ (Foxtrot, Quebec, Mike)
TA1FQN ✅ (Foxtrot, Quebec, November)
TA1FQO ✅ (Foxtrot, Quebec, Oscar)
TA1FQP ✅ (Foxtrot, Quebec, Papa)
TA1FQQ ✅ (Foxtrot, Quebec, Quebec) ⚫️ 🟢 🟢
TA1FQR ✅ (Foxtrot, Quebec, Romeo)
TA1FQS ✅ (Foxtrot, Quebec, Sierra)
TA1FQT ✅ (Foxtrot, Quebec, Tango)
TA1FQU ✅ (Foxtrot, Quebec, Uniform)
TA1FQV ✅ (Foxtrot, Quebec, Victor)
TA1FQW ✅ (Foxtrot, Quebec, Whiskey)
TA1FQX ✅ (Foxtrot, Quebec, X-ray)
TA1FQY ✅ (Foxtrot, Quebec, Yankee)
TA1FQZ ✅ (Foxtrot, Quebec, Zulu)
TA1FRA ✅ (Foxtrot, Romeo, Alfa)
TA1FRB ✅ (Foxtrot, Romeo, Bravo)
TA1FRC ✅ (Foxtrot, Romeo, Charlie)
TA1FRD ✅ (Foxtrot, Romeo, Delta)
TA1FRE ✅ (Foxtrot, Romeo, Echo)
TA1FRF ✅ (Foxtrot, Romeo, Foxtrot) 🟢 ⚫️ 🟢
TA1FRG ✅ (Foxtrot, Romeo, Golf)
TA1FRJ ✅ (Foxtrot, Romeo, Juliett)
TA1FRL ✅ (Foxtrot, Romeo, Lima)
TA1FRM ✅ (Foxtrot, Romeo, Mike)
TA1FRN ✅ (Foxtrot, Romeo, November)
TA1FRO ✅ (Foxtrot, Romeo, Oscar)
TA1FRP ✅ (Foxtrot, Romeo, Papa)
TA1FRQ ✅ (Foxtrot, Romeo, Quebec)
TA1FRR ✅ (Foxtrot, Romeo, Romeo) ⚫️ 🟢 🟢
TA1FRS ✅ (Foxtrot, Romeo, Sierra)
TA1FRU ✅ (Foxtrot, Romeo, Uniform)
TA1FRV ✅ (Foxtrot, Romeo, Victor)
TA1FRW ✅ (Foxtrot, Romeo, Whiskey)
TA1FRX ✅ (Foxtrot, Romeo, X-ray)
TA1FRY ✅ (Foxtrot, Romeo, Yankee)
TA1FRZ ✅ (Foxtrot, Romeo, Zulu)
TA1FSA ✅ (Foxtrot, Sierra, Alfa)
TA1FSB ✅ (Foxtrot, Sierra, Bravo)
TA1FSC ✅ (Foxtrot, Sierra, Charlie)
TA1FSD ✅ (Foxtrot, Sierra, Delta)
TA1FSE ✅ (Foxtrot, Sierra, Echo)
TA1FSF ✅ (Foxtrot, Sierra, Foxtrot) 🟢 ⚫️ 🟢
TA1FSH ✅ (Foxtrot, Sierra, Hotel)
TA1FSI ✅ (Foxtrot, Sierra, India)
TA1FSJ ✅ (Foxtrot, Sierra, Juliett)
TA1FSL ✅ (Foxtrot, Sierra, Lima)
TA1FSN ✅ (Foxtrot, Sierra, November)
TA1FSO ✅ (Foxtrot, Sierra, Oscar)
TA1FSP ✅ (Foxtrot, Sierra, Papa)
TA1FSQ ✅ (Foxtrot, Sierra, Quebec)
TA1FSR ✅ (Foxtrot, Sierra, Romeo)
TA1FSS ✅ (Foxtrot, Sierra, Sierra) ⚫️ 🟢 🟢
TA1FST ✅ (Foxtrot, Sierra, Tango)
TA1FSU ✅ (Foxtrot, Sierra, Uniform)
TA1FSV ✅ (Foxtrot, Sierra, Victor)
TA1FSW ✅ (Foxtrot, Sierra, Whiskey)
TA1FSX ✅ (Foxtrot, Sierra, X-ray)
TA1FSY ✅ (Foxtrot, Sierra, Yankee)
TA1FSZ ✅ (Foxtrot, Sierra, Zulu)
TA1FTA ✅ (Foxtrot, Tango, Alfa)
TA1FTB ✅ (Foxtrot, Tango, Bravo)
TA1FTC ✅ (Foxtrot, Tango, Charlie)
TA1FTD ✅ (Foxtrot, Tango, Delta)
TA1FTE ✅ (Foxtrot, Tango, Echo)
TA1FTF ✅ (Foxtrot, Tango, Foxtrot) 🟢 ⚫️ 🟢
TA1FTG ✅ (Foxtrot, Tango, Golf)
TA1FTI ✅ (Foxtrot, Tango, India)
TA1FTJ ✅ (Foxtrot, Tango, Juliett)
TA1FTK ✅ (Foxtrot, Tango, Kilo)
TA1FTL ✅ (Foxtrot, Tango, Lima)
TA1FTN ✅ (Foxtrot, Tango, November)
TA1FTO ✅ (Foxtrot, Tango, Oscar)
TA1FTP ✅ (Foxtrot, Tango, Papa)
TA1FTQ ✅ (Foxtrot, Tango, Quebec)
TA1FTR ✅ (Foxtrot, Tango, Romeo)
TA1FTT ✅ (Foxtrot, Tango, Tango) ⚫️ 🟢 🟢
TA1FTU ✅ (Foxtrot, Tango, Uniform)
TA1FTV ✅ (Foxtrot, Tango, Victor)
TA1FTW ✅ (Foxtrot, Tango, Whiskey)
TA1FTX ✅ (Foxtrot, Tango, X-ray)
TA1FTY ✅ (Foxtrot, Tango, Yankee)
TA1FTZ ✅ (Foxtrot, Tango, Zulu)
TA1FUA ✅ (Foxtrot, Uniform, Alfa)
TA1FUB ✅ (Foxtrot, Uniform, Bravo)
TA1FUC ✅ (Foxtrot, Uniform, Charlie)
TA1FUE ✅ (Foxtrot, Uniform, Echo)
TA1FUF ✅ (Foxtrot, Uniform, Foxtrot) 🟢 ⚫️ 🟢
TA1FUG ✅ (Foxtrot, Uniform, Golf)
TA1FUH ✅ (Foxtrot, Uniform, Hotel)
TA1FUI ✅ (Foxtrot, Uniform, India)
TA1FUJ ✅ (Foxtrot, Uniform, Juliett)
TA1FUK ✅ (Foxtrot, Uniform, Kilo)
TA1FUL ✅ (Foxtrot, Uniform, Lima)
TA1FUM ✅ (Foxtrot, Uniform, Mike)
TA1FUN ✅ (Foxtrot, Uniform, November)
TA1FUO ✅ (Foxtrot, Uniform, Oscar)
TA1FUP ✅ (Foxtrot, Uniform, Papa)
TA1FUQ ✅ (Foxtrot, Uniform, Quebec)
TA1FUS ✅ (Foxtrot, Uniform, Sierra)
TA1FUT ✅ (Foxtrot, Uniform, Tango)
TA1FUU ✅ (Foxtrot, Uniform, Uniform) ⚫️ 🟢 🟢
TA1FUV ✅ (Foxtrot, Uniform, Victor)
TA1FUW ✅ (Foxtrot, Uniform, Whiskey)
TA1FUX ✅ (Foxtrot, Uniform, X-ray)
TA1FUY ✅ (Foxtrot, Uniform, Yankee)
TA1FUZ ✅ (Foxtrot, Uniform, Zulu)
TA1FVA ✅ (Foxtrot, Victor, Alfa)
TA1FVB ✅ (Foxtrot, Victor, Bravo)
TA1FVC ✅ (Foxtrot, Victor, Charlie)
TA1FVD ✅ (Foxtrot, Victor, Delta)
TA1FVE ✅ (Foxtrot, Victor, Echo)
TA1FVF ✅ (Foxtrot, Victor, Foxtrot) 🟢 ⚫️ 🟢
TA1FVG ✅ (Foxtrot, Victor, Golf)
TA1FVH ✅ (Foxtrot, Victor, Hotel)
TA1FVI ✅ (Foxtrot, Victor, India)
TA1FVJ ✅ (Foxtrot, Victor, Juliett)
TA1FVK ✅ (Foxtrot, Victor, Kilo)
TA1FVL ✅ (Foxtrot, Victor, Lima)
TA1FVM ✅ (Foxtrot, Victor, Mike)
TA1FVN ✅ (Foxtrot, Victor, November)
TA1FVO ✅ (Foxtrot, Victor, Oscar)
TA1FVP ✅ (Foxtrot, Victor, Papa)
TA1FVQ ✅ (Foxtrot, Victor, Quebec)
TA1FVR ✅ (Foxtrot, Victor, Romeo)
TA1FVS ✅ (Foxtrot, Victor, Sierra)
TA1FVT ✅ (Foxtrot, Victor, Tango)
TA1FVU ✅ (Foxtrot, Victor, Uniform)
TA1FVV ✅ (Foxtrot, Victor, Victor) ⚫️ 🟢 🟢
TA1FVW ✅ (Foxtrot, Victor, Whiskey)
TA1FVX ✅ (Foxtrot, Victor, X-ray)
TA1FVY ✅ (Foxtrot, Victor, Yankee)
TA1FVZ ✅ (Foxtrot, Victor, Zulu)
TA1FWA ✅ (Foxtrot, Whiskey, Alfa)
TA1FWB ✅ (Foxtrot, Whiskey, Bravo)
TA1FWC ✅ (Foxtrot, Whiskey, Charlie)
TA1FWD ✅ (Foxtrot, Whiskey, Delta)
TA1FWE ✅ (Foxtrot, Whiskey, Echo)
TA1FWF ✅ (Foxtrot, Whiskey, Foxtrot) 🟢 ⚫️ 🟢
TA1FWG ✅ (Foxtrot, Whiskey, Golf)
TA1FWH ✅ (Foxtrot, Whiskey, Hotel)
TA1FWI ✅ (Foxtrot, Whiskey, India)
TA1FWJ ✅ (Foxtrot, Whiskey, Juliett)
TA1FWK ✅ (Foxtrot, Whiskey, Kilo)
TA1FWL ✅ (Foxtrot, Whiskey, Lima)
TA1FWM ✅ (Foxtrot, Whiskey, Mike)
TA1FWN ✅ (Foxtrot, Whiskey, November)
TA1FWO ✅ (Foxtrot, Whiskey, Oscar)
TA1FWP ✅ (Foxtrot, Whiskey, Papa)
TA1FWQ ✅ (Foxtrot, Whiskey, Quebec)
TA1FWR ✅ (Foxtrot, Whiskey, Romeo)
TA1FWS ✅ (Foxtrot, Whiskey, Sierra)
TA1FWT ✅ (Foxtrot, Whiskey, Tango)
TA1FWU ✅ (Foxtrot, Whiskey, Uniform)
TA1FWV ✅ (Foxtrot, Whiskey, Victor)
TA1FWW ✅ (Foxtrot, Whiskey, Whiskey) ⚫️ 🟢 🟢
TA1FWX ✅ (Foxtrot, Whiskey, X-ray)
TA1FWY ✅ (Foxtrot, Whiskey, Yankee)
TA1FWZ ✅ (Foxtrot, Whiskey, Zulu)
TA1FXA ✅ (Foxtrot, X-ray, Alfa)
TA1FXB ✅ (Foxtrot, X-ray, Bravo)
TA1FXC ✅ (Foxtrot, X-ray, Charlie)
TA1FXD ✅ (Foxtrot, X-ray, Delta)
TA1FXE ✅ (Foxtrot, X-ray, Echo)
TA1FXF ✅ (Foxtrot, X-ray, Foxtrot) 🟢 ⚫️ 🟢
TA1FXG ✅ (Foxtrot, X-ray, Golf)
TA1FXH ✅ (Foxtrot, X-ray, Hotel)
TA1FXI ✅ (Foxtrot, X-ray, India)
TA1FXJ ✅ (Foxtrot, X-ray, Juliett)
TA1FXK ✅ (Foxtrot, X-ray, Kilo)
TA1FXL ✅ (Foxtrot, X-ray, Lima)
TA1FXM ✅ (Foxtrot, X-ray, Mike)
TA1FXN ✅ (Foxtrot, X-ray, November)
TA1FXO ✅ (Foxtrot, X-ray, Oscar)
TA1FXP ✅ (Foxtrot, X-ray, Papa)
TA1FXQ ✅ (Foxtrot, X-ray, Quebec)
TA1FXR ✅ (Foxtrot, X-ray, Romeo)
TA1FXS ✅ (Foxtrot, X-ray, Sierra)
TA1FXT ✅ (Foxtrot, X-ray, Tango)
TA1FXU ✅ (Foxtrot, X-ray, Uniform)
TA1FXV ✅ (Foxtrot, X-ray, Victor)
TA1FXW ✅ (Foxtrot, X-ray, Whiskey)
TA1FXX ✅ (Foxtrot, X-ray, X-ray) ⚫️ 🟢 🟢
TA1FXY ✅ (Foxtrot, X-ray, Yankee)
TA1FXZ ✅ (Foxtrot, X-ray, Zulu)
TA1FYA ✅ (Foxtrot, Yankee, Alfa)
TA1FYB ✅ (Foxtrot, Yankee, Bravo)
TA1FYC ✅ (Foxtrot, Yankee, Charlie)
TA1FYD ✅ (Foxtrot, Yankee, Delta)
TA1FYE ✅ (Foxtrot, Yankee, Echo)
TA1FYF ✅ (Foxtrot, Yankee, Foxtrot) 🟢 ⚫️ 🟢
TA1FYG ✅ (Foxtrot, Yankee, Golf)
TA1FYH ✅ (Foxtrot, Yankee, Hotel)
TA1FYI ✅ (Foxtrot, Yankee, India)
TA1FYJ ✅ (Foxtrot, Yankee, Juliett)
TA1FYM ✅ (Foxtrot, Yankee, Mike)
TA1FYN ✅ (Foxtrot, Yankee, November)
TA1FYO ✅ (Foxtrot, Yankee, Oscar)
TA1FYP ✅ (Foxtrot, Yankee, Papa)
TA1FYQ ✅ (Foxtrot, Yankee, Quebec)
TA1FYR ✅ (Foxtrot, Yankee, Romeo)
TA1FYS ✅ (Foxtrot, Yankee, Sierra)
TA1FYT ✅ (Foxtrot, Yankee, Tango)
TA1FYU ✅ (Foxtrot, Yankee, Uniform)
TA1FYV ✅ (Foxtrot, Yankee, Victor)
TA1FYW ✅ (Foxtrot, Yankee, Whiskey)
TA1FYX ✅ (Foxtrot, Yankee, X-ray)
TA1FYY ✅ (Foxtrot, Yankee, Yankee) ⚫️ 🟢 🟢
TA1FYZ ✅ (Foxtrot, Yankee, Zulu)
TA1FZA ✅ (Foxtrot, Zulu, Alfa)
TA1FZB ✅ (Foxtrot, Zulu, Bravo)
TA1FZC ✅ (Foxtrot, Zulu, Charlie)
TA1FZD ✅ (Foxtrot, Zulu, Delta)
TA1FZE ✅ (Foxtrot, Zulu, Echo)
TA1FZF ✅ (Foxtrot, Zulu, Foxtrot) 🟢 ⚫️ 🟢
TA1FZG ✅ (Foxtrot, Zulu, Golf)
TA1FZH ✅ (Foxtrot, Zulu, Hotel)
TA1FZI ✅ (Foxtrot, Zulu, India)
TA1FZJ ✅ (Foxtrot, Zulu, Juliett)
TA1FZK ✅ (Foxtrot, Zulu, Kilo)
TA1FZL ✅ (Foxtrot, Zulu, Lima)
TA1FZM ✅ (Foxtrot, Zulu, Mike)
TA1FZN ✅ (Foxtrot, Zulu, November)
TA1FZP ✅ (Foxtrot, Zulu, Papa)
TA1FZQ ✅ (Foxtrot, Zulu, Quebec)
TA1FZR ✅ (Foxtrot, Zulu, Romeo)
TA1FZS ✅ (Foxtrot, Zulu, Sierra)
TA1FZT ✅ (Foxtrot, Zulu, Tango)
TA1FZU ✅ (Foxtrot, Zulu, Uniform)
TA1FZV ✅ (Foxtrot, Zulu, Victor)
TA1FZW ✅ (Foxtrot, Zulu, Whiskey)
TA1FZX ✅ (Foxtrot, Zulu, X-ray)
TA1FZY ✅ (Foxtrot, Zulu, Yankee)
TA1FZZ ✅ (Foxtrot, Zulu, Zulu) ⚫️ 🟢 🟢
TA1GAB ✅ (Golf, Alfa, Bravo)
TA1GAC ✅ (Golf, Alfa, Charlie)
TA1GAE ✅ (Golf, Alfa, Echo)
TA1GAF ✅ (Golf, Alfa, Foxtrot)
TA1GAG ✅ (Golf, Alfa, Golf) 🟢 ⚫️ 🟢
TA1GAH ✅ (Golf, Alfa, Hotel)
TA1GAI ✅ (Golf, Alfa, India)
TA1GAJ ✅ (Golf, Alfa, Juliett)
TA1GAL ✅ (Golf, Alfa, Lima)
TA1GAM ✅ (Golf, Alfa, Mike)
TA1GAO ✅ (Golf, Alfa, Oscar)
TA1GAP ✅ (Golf, Alfa, Papa)
TA1GAQ ✅ (Golf, Alfa, Quebec)
TA1GAR ✅ (Golf, Alfa, Romeo)
TA1GAT ✅ (Golf, Alfa, Tango)
TA1GAU ✅ (Golf, Alfa, Uniform)
TA1GAV ✅ (Golf, Alfa, Victor)
TA1GAW ✅ (Golf, Alfa, Whiskey)
TA1GAX ✅ (Golf, Alfa, X-ray)
TA1GAY ✅ (Golf, Alfa, Yankee)
TA1GAZ ✅ (Golf, Alfa, Zulu)
TA1GBA ✅ (Golf, Bravo, Alfa)
TA1GBC ✅ (Golf, Bravo, Charlie)
TA1GBD ✅ (Golf, Bravo, Delta)
TA1GBE ✅ (Golf, Bravo, Echo)
TA1GBF ✅ (Golf, Bravo, Foxtrot)
TA1GBG ✅ (Golf, Bravo, Golf) 🟢 ⚫️ 🟢
TA1GBH ✅ (Golf, Bravo, Hotel)
TA1GBI ✅ (Golf, Bravo, India)
TA1GBJ ✅ (Golf, Bravo, Juliett)
TA1GBL ✅ (Golf, Bravo, Lima)
TA1GBM ✅ (Golf, Bravo, Mike)
TA1GBO ✅ (Golf, Bravo, Oscar)
TA1GBP ✅ (Golf, Bravo, Papa)
TA1GBQ ✅ (Golf, Bravo, Quebec)
TA1GBR ✅ (Golf, Bravo, Romeo)
TA1GBS ✅ (Golf, Bravo, Sierra)
TA1GBT ✅ (Golf, Bravo, Tango)
TA1GBU ✅ (Golf, Bravo, Uniform)
TA1GBV ✅ (Golf, Bravo, Victor)
TA1GBW ✅ (Golf, Bravo, Whiskey)
TA1GBY ✅ (Golf, Bravo, Yankee)
TA1GCB ✅ (Golf, Charlie, Bravo)
TA1GCC ✅ (Golf, Charlie, Charlie) ⚫️ 🟢 🟢
TA1GCD ✅ (Golf, Charlie, Delta)
TA1GCE ✅ (Golf, Charlie, Echo)
TA1GCF ✅ (Golf, Charlie, Foxtrot)
TA1GCG ✅ (Golf, Charlie, Golf) 🟢 ⚫️ 🟢
TA1GCH ✅ (Golf, Charlie, Hotel)
TA1GCI ✅ (Golf, Charlie, India)
TA1GCJ ✅ (Golf, Charlie, Juliett)
TA1GCK ✅ (Golf, Charlie, Kilo)
TA1GCL ✅ (Golf, Charlie, Lima)
TA1GCM ✅ (Golf, Charlie, Mike)
TA1GCN ✅ (Golf, Charlie, November)
TA1GCO ✅ (Golf, Charlie, Oscar)
TA1GCP ✅ (Golf, Charlie, Papa)
TA1GCQ ✅ (Golf, Charlie, Quebec)
TA1GCR ✅ (Golf, Charlie, Romeo)
TA1GCS ✅ (Golf, Charlie, Sierra)
TA1GCT ✅ (Golf, Charlie, Tango)
TA1GCU ✅ (Golf, Charlie, Uniform)
TA1GCV ✅ (Golf, Charlie, Victor)
TA1GCW ✅ (Golf, Charlie, Whiskey)
TA1GCX ✅ (Golf, Charlie, X-ray)
TA1GCY ✅ (Golf, Charlie, Yankee)
TA1GCZ ✅ (Golf, Charlie, Zulu)
TA1GDA ✅ (Golf, Delta, Alfa)
TA1GDB ✅ (Golf, Delta, Bravo)
TA1GDC ✅ (Golf, Delta, Charlie)
TA1GDD ✅ (Golf, Delta, Delta) ⚫️ 🟢 🟢
TA1GDE ✅ (Golf, Delta, Echo)
TA1GDF ✅ (Golf, Delta, Foxtrot)
TA1GDG ✅ (Golf, Delta, Golf) 🟢 ⚫️ 🟢
TA1GDH ✅ (Golf, Delta, Hotel)
TA1GDI ✅ (Golf, Delta, India)
TA1GDJ ✅ (Golf, Delta, Juliett)
TA1GDK ✅ (Golf, Delta, Kilo)
TA1GDL ✅ (Golf, Delta, Lima)
TA1GDM ✅ (Golf, Delta, Mike)
TA1GDN ✅ (Golf, Delta, November)
TA1GDO ✅ (Golf, Delta, Oscar)
TA1GDP ✅ (Golf, Delta, Papa)
TA1GDQ ✅ (Golf, Delta, Quebec)
TA1GDR ✅ (Golf, Delta, Romeo)
TA1GDS ✅ (Golf, Delta, Sierra)
TA1GDU ✅ (Golf, Delta, Uniform)
TA1GDV ✅ (Golf, Delta, Victor)
TA1GDW ✅ (Golf, Delta, Whiskey)
TA1GDX ✅ (Golf, Delta, X-ray)
TA1GDY ✅ (Golf, Delta, Yankee)
TA1GDZ ✅ (Golf, Delta, Zulu)
TA1GEA ✅ (Golf, Echo, Alfa)
TA1GEB ✅ (Golf, Echo, Bravo)
TA1GEC ✅ (Golf, Echo, Charlie)
TA1GEE ✅ (Golf, Echo, Echo) ⚫️ 🟢 🟢
TA1GEF ✅ (Golf, Echo, Foxtrot)
TA1GEG ✅ (Golf, Echo, Golf) 🟢 ⚫️ 🟢
TA1GEH ✅ (Golf, Echo, Hotel)
TA1GEJ ✅ (Golf, Echo, Juliett)
TA1GEK ✅ (Golf, Echo, Kilo)
TA1GEL ✅ (Golf, Echo, Lima)
TA1GEM ✅ (Golf, Echo, Mike)
TA1GEO ✅ (Golf, Echo, Oscar)
TA1GEP ✅ (Golf, Echo, Papa)
TA1GEQ ✅ (Golf, Echo, Quebec)
TA1GER ✅ (Golf, Echo, Romeo)
TA1GES ✅ (Golf, Echo, Sierra)
TA1GET ✅ (Golf, Echo, Tango)
TA1GEU ✅ (Golf, Echo, Uniform)
TA1GEV ✅ (Golf, Echo, Victor)
TA1GEW ✅ (Golf, Echo, Whiskey)
TA1GEX ✅ (Golf, Echo, X-ray)
TA1GEY ✅ (Golf, Echo, Yankee)
TA1GFA ✅ (Golf, Foxtrot, Alfa)
TA1GFD ✅ (Golf, Foxtrot, Delta)
TA1GFE ✅ (Golf, Foxtrot, Echo)
TA1GFF ✅ (Golf, Foxtrot, Foxtrot) ⚫️ 🟢 🟢
TA1GFG ✅ (Golf, Foxtrot, Golf) 🟢 ⚫️ 🟢
TA1GFH ✅ (Golf, Foxtrot, Hotel)
TA1GFI ✅ (Golf, Foxtrot, India)
TA1GFJ ✅ (Golf, Foxtrot, Juliett)
TA1GFK ✅ (Golf, Foxtrot, Kilo)
TA1GFL ✅ (Golf, Foxtrot, Lima)
TA1GFM ✅ (Golf, Foxtrot, Mike)
TA1GFN ✅ (Golf, Foxtrot, November)
TA1GFO ✅ (Golf, Foxtrot, Oscar)
TA1GFP ✅ (Golf, Foxtrot, Papa)
TA1GFQ ✅ (Golf, Foxtrot, Quebec)
TA1GFR ✅ (Golf, Foxtrot, Romeo)
TA1GFS ✅ (Golf, Foxtrot, Sierra)
TA1GFT ✅ (Golf, Foxtrot, Tango)
TA1GFU ✅ (Golf, Foxtrot, Uniform)
TA1GFV ✅ (Golf, Foxtrot, Victor)
TA1GFW ✅ (Golf, Foxtrot, Whiskey)
TA1GFX ✅ (Golf, Foxtrot, X-ray)
TA1GFY ✅ (Golf, Foxtrot, Yankee)
TA1GFZ ✅ (Golf, Foxtrot, Zulu)
TA1GGA ✅ (Golf, Golf, Alfa) 🟢 🟢 ⚫️
TA1GGB ✅ (Golf, Golf, Bravo) 🟢 🟢 ⚫️
TA1GGC ✅ (Golf, Golf, Charlie) 🟢 🟢 ⚫️
TA1GGD ✅ (Golf, Golf, Delta) 🟢 🟢 ⚫️
TA1GGE ✅ (Golf, Golf, Echo) 🟢 🟢 ⚫️
TA1GGF ✅ (Golf, Golf, Foxtrot) 🟢 🟢 ⚫️
TA1GGH ✅ (Golf, Golf, Hotel) 🟢 🟢 ⚫️
TA1GGI ✅ (Golf, Golf, India) 🟢 🟢 ⚫️
TA1GGJ ✅ (Golf, Golf, Juliett) 🟢 🟢 ⚫️
TA1GGK ✅ (Golf, Golf, Kilo) 🟢 🟢 ⚫️
TA1GGL ✅ (Golf, Golf, Lima) 🟢 🟢 ⚫️
TA1GGM ✅ (Golf, Golf, Mike) 🟢 🟢 ⚫️
TA1GGN ✅ (Golf, Golf, November) 🟢 🟢 ⚫️
TA1GGO ✅ (Golf, Golf, Oscar) 🟢 🟢 ⚫️
TA1GGP ✅ (Golf, Golf, Papa) 🟢 🟢 ⚫️
TA1GGQ ✅ (Golf, Golf, Quebec) 🟢 🟢 ⚫️
TA1GGR ✅ (Golf, Golf, Romeo) 🟢 🟢 ⚫️
TA1GGS ✅ (Golf, Golf, Sierra) 🟢 🟢 ⚫️
TA1GGT ✅ (Golf, Golf, Tango) 🟢 🟢 ⚫️
TA1GGU ✅ (Golf, Golf, Uniform) 🟢 🟢 ⚫️
TA1GGV ✅ (Golf, Golf, Victor) 🟢 🟢 ⚫️
TA1GGW ✅ (Golf, Golf, Whiskey) 🟢 🟢 ⚫️
TA1GGX ✅ (Golf, Golf, X-ray) 🟢 🟢 ⚫️
TA1GGY ✅ (Golf, Golf, Yankee) 🟢 🟢 ⚫️
TA1GGZ ✅ (Golf, Golf, Zulu) 🟢 🟢 ⚫️
TA1GHA ✅ (Golf, Hotel, Alfa)
TA1GHB ✅ (Golf, Hotel, Bravo)
TA1GHD ✅ (Golf, Hotel, Delta)
TA1GHE ✅ (Golf, Hotel, Echo)
TA1GHF ✅ (Golf, Hotel, Foxtrot)
TA1GHG ✅ (Golf, Hotel, Golf) 🟢 ⚫️ 🟢
TA1GHH ✅ (Golf, Hotel, Hotel) ⚫️ 🟢 🟢
TA1GHI ✅ (Golf, Hotel, India)
TA1GHJ ✅ (Golf, Hotel, Juliett)
TA1GHK ✅ (Golf, Hotel, Kilo)
TA1GHL ✅ (Golf, Hotel, Lima)
